SMILES,MP
CCCCCCCC=CC(=O)O,12.0
Fc1cc(Br)c(c(c1)Br)Cl,86.0
COC(=O)c1ccc(c(c1)C)Br,42.0
OC(c1ccccc1)C1OC(=O)C2(C(C1CC2)(C)C)C,156.0
Sc1ccccn1,127.0
N#Cc1c(F)ccc(c1Cl)C,59.0
Clc1cnc(c(c1)[N+](=O)[O-])N,193.0
O=Cc1ccc(cc1C(F)(F)F)B(O)O,201.0
NCCCCCCCC(=O)O,195.0
Oc1ccc(cc1CC=C)Cl,48.0
ClCn1nc(oc1=S)c1cc2c(o1)cccc2,300.0
BrCCC(CBr)Br,-18.0
CC(=O)Nc1ccc(c(c1)C)C(=O)C,139.0
OCC(=O)C1(O)CCC2C1(C)CC(=O)C1C2CCC2C1(C)CCC(C2)O,190.0
CC(c1ccccc1)O,20.0
O=C1CSC(=S)N1c1ccccc1,240.0
OB(c1cnc(cc1C)Br)O,164.0
CCOC(=O)c1ccccc1N=C=O,29.0
C#CCN1C(=O)CN=C(c2c1ccc(c2)Cl)c1ccccc1,141.0
CC=CC(C)(C)C,-135.0
OC(=O)CS(=O)(=O)c1ccc(cc1)C,118.0
Oc1ccc(cn1)C,185.0
CCN(Cc1cc(ccc1O)Nc1ccnc2c1ccc(c2)Cl)CC,208.0
Clc1ccc2c(c1)Oc1c(O2)cc(cc1)Cl,201.5
O=C(n1cc(F)c(=O)[nH]c1=O)Nc1ccccc1,223.0
CC(=O)Nc1ccc(cc1)c1ccc(cc1)N(C(=O)C)Nc1ccccc1,233.0
COC(=O)c1ccc2c(c1)nsn2,91.0
N#CCc1cc(F)c(c(c1)F)F,31.0
CCOc1ccccc1C=O,21.0
CN1C2CCC1CC(=O)C2,43.0
OC(=O)c1ccc(c(c1O)F)F,178.0
O=C(Cc1ccccc1)OC(=O)Cc1ccccc1,73.3
Cc1nc2c(s1)ccc1c2cccc1,96.0
Brc1ccc(c(c1)O)Cl,57.0
CCc1oc2c(c1C(=O)c1cc(Br)c(c(c1)Br)O)cccc2,151.0
O=Cc1cc(ccc1O)OC(F)(F)F,32.0
O=C(c1cccnc1)OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(C(C1OC(=O)c1cccnc1)OC(=O)c1cccnc1)OC(=O)c1cccnc1,254.6
O=C(c1ccccc1)c1cc(cc(c1)C(=O)c1ccccc1)C(=O)c1ccccc1,118.0
COc1ccc(cc1)C(=O)c1cccs1,73.0
NC(=N)NC(=O)c1nc(Cl)c(nc1N)N,241.0
CC(CCCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2)C)C,80.0
Oc1ccc(cc1)C(C1C(=NN(C1=O)c1ccccc1)C)C1C(=NN(C1=O)c1ccccc1)C,241.0
CC=CC(C)C,-141.0
O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CCCCCC1,170.0
O=Cc1ccc(cc1Cl)N(C)C,80.0
CCCCCCCCCCCCCCCC(=O)NN,151.0
COc1ccccc1C1(C)CCc2c(-c3c1cc(o3)C)c1c(o2)ccc(c1)Br,209.0
O=CC1(C)C(O)CCC2(C1CCC1(C2CC=C2C1(C)CC(O)C1(C2CC(CC1)(C)C)C(=O)O)C)C,294.0
c1ccc(cc1)Cc1ccncc1,10.0
CCc1ssc(=O)c1c1ccccc1,82.0
CCCCOC=O,-92.0
COc1ccc2c3c1OC1[C@@]43CCN([C@H](C2)[C@@H]4C=CC1O)C,157.5
Sc1nccs1,79.0
Fc1ccc(c(c1)N)O,140.0
CCCCC(CNCC(CCCC)CC)CC,-60.0
ICC(C)C,-93.0
COc1cccc2c1oc(c2)C(=O)O,219.0
CCOC(=O)C1=C(NC(=O)c2ccco2)Oc2c(C1c1ccc(cc1)Br)c(=O)oc1c2cccc1,140.0
O=c1oc2ccccc2c(c1Cc1c(=O)oc2c(c1O)cccc2)O,290.0
Oc1c(O)cccc1Br,41.0
OC(=O)C[C@H](c1ccc(cc1)Br)NC(=O)OC(C)(C)C,144.0
CC1CCC2(C(C1C)C1=CCC3C(C1(CC2)C)(C)CCC1C3(C)CCC(C1(C)C)O)C,186.0
C(CCP(c1ccccc1)c1ccccc1)CCCP(c1ccccc1)c1ccccc1,127.0
CC(=O)Nc1ccccc1,115.0
ClCC(=O)c1ccc(c(c1)Cl)Cl,44.0
[O-][N+](=O)c1c(O)ccc2c1cccc2,104.0
ClC1=C(Cl)[C@@]2(C([C@@]1(Cl)[C@H]1[C@@H]2[C@H]2C[C@@H]1C=C2)(Cl)Cl)Cl,104.0
COc1cc(c(cc1[N+](=O)[O-])O)C(c1ccc(o1)C)c1ccc(o1)C,104.0
COc1cc(Cl)ccc1[N+](=O)[O-],71.0
N#Cc1c(F)c(C#N)c(c(c1F)F)F,77.0
Nc1ccnc(c1)Cl,93.0
Cc1nn(c(c1)C)CN(Cn1nc(cc1C)C)Cc1ccccc1,71.0
NNC(=O)c1cc(Cl)cc(c1)Cl,206.0
CCOC(=O)C1N=C(c2c(NC1=O)ccc(c2)Cl)c1ccccc1F,193.5
O=c1ccc2c(o1)cc(c(c2)O)O,276.0
CC(c1ccccc1O)C,15.0
OC(=O)c1ccc(cc1)C#C[Si](C)(C)C,156.0
Cc1ccc(cc1)C(=CCN1CCCC1)c1ccccn1,60.0
O=C(C=Cc1ccccc1)NNc1ccccc1,187.0
CCCC(C(=O)O)N,307.0
CCCc1nn(c(n1)O)c1ccccc1,146.0
CCOC(=O)C=N#N,-22.0
CCCCCCCCCCC=C,-37.0
O=C1NCCO1,87.0
Cc1cccnc1,-18.0
CC1N(CCOC1c1ccccc1)Cc1c(=O)n(n(c1C)C)c1ccccc1,149.0
CCNc1nc2c(cc1C(=O)OC)c(=O)oc1c2cccc1,210.0
CCCCCCOCCOCCO,-40.0
CSc1[nH]nc(c1C#N)N,149.0
COc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,105.0
OB(c1ccc(c(c1)F)C)O,234.0
CCCCOC(=O)C=C,-64.0
CC1OC1P(=O)(O)O,94.0
OC(=O)CC(=O)C(=O)O,161.0
C=Cc1ccc(cc1)OC(=O)C,8.0
COc1ccccc1Oc1ccccc1,79.0
OCC(C(C(C(C(CO)O)O)O)O)O,188.0
Nc1cc(C)nc(c1)C,192.5
N#CCC(=O)c1ccccc1Cl,56.0
ON=C1C(=O)C2CCC(C1=O)(C2(C)C)C,109.0
Cc1ccccc1C(=O)c1ccccc1,-18.0
COc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],105.3
CC(=O)Nc1ccc(cc1[N+](=O)[O-])Cl,98.0
CC1C(=Cc2c1cccc2)c1ccccc1,58.0
O=C1Cc2ccccc2C(=O)Cc2c1cccc2,208.0
ON=C(C(=O)O)Cc1ccc(cc1)OC,159.0
Clc1cc(Cl)c(c(c1Cl)O)Cl,115.0
CN1CCC(CC1)CCCC1CCN(CC1)C,13.7
CCC(c1ccccc1)C(=O)OC,77.5
N#CC1=CC=C2C(=CC=N2)[CH]1,107.0
C=C,-169.0
CCSc1ccc2c(c1)N(CCCN1CCN(CC1)C)c1c(S2)cccc1,63.0
CCCCOC(=O)C(O)C,-28.0
COC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OC,214.0
Clc1ccc(c(c1)C(=O)O)[N+](=O)[O-],138.0
Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,254.0
ClCC(Cn1c(C)ncc1[N+](=O)[O-])O,77.5
BrCC(=O)Oc1ccc(cc1)[N+](=O)[O-],86.0
[O-][N+](=O)c1cnc(c(c1)C)Br,57.0
OC(=O)c1nn(c(n1)O)c1ccccc1,180.0
ClC[C@H](Cl)C,-100.0
OC(=O)CCCc1ccccc1,51.0
COc1c(OC)cc(cc1OC)I,86.0
CCCCOP(=O)(OCCCC)O,-13.0
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,35.5
[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C=Cc1cccc(c1)[N+](=O)[O-])C=Cc1ccccc1N,250.0
BrC(=Cc1ccccc1)Br,75.0
C=CCN(C(=O)COC(=O)c1ccccc1)CC=C,42.5
COc1ccc2c3c1O[C@@H]1[C@@]43CC[N+]([C@H](C2)[C@@H]4C=C[C@@H]1O)([O-])C,231.5
CCCCC(=O)C,-56.0
CCCOc1ccc(cc1)C(=O)O,145.0
OC(=O)C(CC(=O)O)(CC(=O)O)O,154.0
FC=C,-160.5
ClS(=O)(=O)Cc1ccccc1,92.0
Fc1cccc2c1[nH]cc2,62.0
OC(=O)c1ccc(cc1C(F)(F)F)C(F)(F)F,109.0
Nc1nccc(c1)C(=O)N,258.0
COc1cccc(c1F)C=O,49.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,75.0
OC(=O)CC1CCC=C1,19.0
COC1CCC=CO1,16.0
CCCCCOC(=O)c1ccc(cc1)O,38.0
O=C1CC[C@]2(C(=C1Cl)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,189.0
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C2C1(C)OC(=O)N2CCCCn1cnc(c1)c1cccnc1)C)C)(C)OC,187.5
CCCCCCCCCCc1ccccc1,-14.0
Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,125.0
O=C(c1ccccc1)OC1c2ccccc2C(=O)N1C,93.0
CC(=O)Nc1ccc(cc1)C(=O)C,169.0
FCF,-136.0
CC(=O)OCCS(=O)(=O)c1ccc(s1)S(=O)(=O)N,115.0
COc1c(F)c(cc(c1F)F)C(=O)O,115.0
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)Nc1ccccc1C(=O)C1CC1,161.9
CC=CC=CC(=O)O,134.0
c1ccc(cc1)c1nc2ccccc2nc1c1cccc2c1cccc2,138.0
CCCCNc1ccccc1,-14.4
Clc1nc2ccccc2nc1Cl,153.0
[O-][N+](=O)c1c2ccccc2cc2c1cccc2,141.0
COc1ccccc1Cl,-26.8
NNC(=S)Nc1ccccc1C,147.0
CC(=O)O[Si](OC(=O)C)(OC(=O)C)OC(=O)C,110.0
Clc1ccc(cc1)/C=N/CC/N=C/c1ccc(cc1)Cl,125.35
c1ccc(cc1)CN1CN(CN(C1)Cc1ccccc1)Cc1ccccc1,50.0
CC(=O)Oc1ccc(c(c1)C)OC(=O)C,41.0
c1ccc(cc1)C1(CC1C1=NCCN1)c1ccccc1,103.5
COC1=CC(=O)C[C@H]([C@@]21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,219.0
[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],14.0
CCCCCC(CCCC)O,8.0
CC(=CCCC(C1=C(O)C(=O)C(=CC1=O)C)C)C,103.5
CCCCCCCCCCCCCCCCC(=O)O,61.0
CCOC(=O)c1nnsc1N,124.0
O=C1N(c2c[nH]nc2)C(=O)c2c1cccc2,260.0
Oc1ccc(c(c1)[N+](=O)[O-])Cl,127.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,73.0
Fc1ccc(c(c1)C(F)(F)F)S(=O)(=O)Cl,50.0
O=Cc1ccc(cc1)C(=O)N,155.5
OB(c1ccc(cc1F)C(F)(F)F)O,114.0
CCCCCCCCCCCc1nc(N)nc(n1)N,120.0
C1CCC(CC1)NC1CCCCC1,-2.0
N#Cc1ncccc1C,86.0
[O-][N+](=O)c1ccc(c(c1)O)N,208.5
CC(C(=NNC(=O)N)C)Cc1ccccc1,112.0
OCCOC(=O)C1CCCCC1C(=O)O,90.0
CC([C@H]1[C@H](O)[C@@]2([C@@]3([C@@]1(C)[C@]1(O)C[C@@]2(C)[C@@]2([C@]3(O1)[C@H](O)[C@H](CC2)C)O)O)O)C,306.0
C=Cc1cccc(c1)C(=O)N,133.0
N#CCc1ccc(cc1)OCc1ccccc1,68.0
CCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCC,64.0
